conv2d,input,pytorch_gflops,autotuner_gflops,speedup
"(116, 116, (3, 3), (2, 2), (1, 1), (1, 1), 116, False, 'zeros')","(32, 116, 28, 28)",2.9480,10.1789,3.4528
"(58, 58, (3, 3), (2, 2), (1, 1), (1, 1), 58, False, 'zeros')","(32, 58, 56, 56)",3.0635,8.4974,2.7737
"(24, 24, (3, 3), (2, 2), (1, 1), (1, 1), 24, False, 'zeros')","(32, 24, 56, 56)",6.4379,10.9084,1.6944
"(16, 16, (3, 3), (2, 2), (1, 1), (1, 1), 16, False, 'zeros')","(1, 16, 112, 112)",7.3341,11.5911,1.5804
"(576, 1280, (1, 1), (1, 1), (0, 0), (1, 1), 1, True, 'zeros')","(1, 576, 1, 1)",19.9360,30.3943,1.5246
"(72, 72, (3, 3), (2, 2), (1, 1), (1, 1), 72, False, 'zeros')","(1, 72, 56, 56)",7.9177,13.4648,1.7006
"(232, 232, (3, 3), (2, 2), (1, 1), (1, 1), 232, False, 'zeros')","(32, 232, 14, 14)",7.5401,16.1762,2.1453
"(144, 144, (3, 3), (2, 2), (1, 1), (1, 1), 144, False, 'zeros')","(32, 144, 56, 56)",2.3584,8.8043,3.7332
"(576, 576, (3, 3), (2, 2), (1, 1), (1, 1), 576, False, 'zeros')","(32, 576, 14, 14)",5.7902,11.6768,2.0167
"(48, 48, (3, 3), (2, 2), (1, 1), (1, 1), 48, False, 'zeros')","(32, 48, 112, 112)",2.3726,7.0061,2.9530
"(192, 192, (3, 3), (2, 2), (1, 1), (1, 1), 192, False, 'zeros')","(32, 192, 28, 28)",5.7154,9.4909,1.6606
"(96, 96, (3, 3), (2, 2), (1, 1), (1, 1), 96, False, 'zeros')","(32, 96, 112, 112)",2.0926,6.3486,3.0338
"(288, 288, (5, 5), (2, 2), (2, 2), (1, 1), 288, False, 'zeros')","(1, 288, 14, 14)",8.6163,20.2042,2.3449
"(58, 58, (3, 3), (1, 1), (1, 1), (1, 1), 58, False, 'zeros')","(32, 58, 28, 28)",7.6268,34.7069,4.5507
"(116, 116, (3, 3), (1, 1), (1, 1), (1, 1), 116, False, 'zeros')","(32, 116, 14, 14)",8.3324,41.7312,5.0083
"(96, 96, (5, 5), (2, 2), (2, 2), (1, 1), 96, False, 'zeros')","(1, 96, 28, 28)",9.4363,22.2150,2.3542
"(88, 88, (3, 3), (1, 1), (1, 1), (1, 1), 88, False, 'zeros')","(1, 88, 28, 28)",11.1825,40.0573,3.5821
"(1152, 1152, (3, 3), (1, 1), (1, 1), (1, 1), 1152, False, 'zeros')","(32, 1152, 7, 7)",11.4029,21.9459,1.9246
"(128, 128, (3, 3), (1, 1), (1, 1), (1, 1), 32, False, 'zeros')","(32, 128, 56, 56)",9.9935,23.4130,2.3428
"(576, 576, (5, 5), (1, 1), (2, 2), (1, 1), 576, False, 'zeros')","(1, 576, 7, 7)",14.7358,22.5434,1.5298
"(480, 480, (3, 3), (1, 1), (1, 1), (1, 1), 480, False, 'zeros')","(32, 480, 14, 14)",12.0072,28.3044,2.3573
"(240, 240, (5, 5), (2, 2), (2, 2), (1, 1), 240, False, 'zeros')","(32, 240, 28, 28)",14.5403,17.8141,1.2252
"(232, 232, (3, 3), (1, 1), (1, 1), (1, 1), 232, False, 'zeros')","(32, 232, 7, 7)",17.6683,23.3008,1.3188
"(120, 120, (5, 5), (1, 1), (2, 2), (1, 1), 120, False, 'zeros')","(1, 120, 14, 14)",15.3572,26.4802,1.7243
"(576, 576, (5, 5), (2, 2), (2, 2), (1, 1), 576, False, 'zeros')","(32, 576, 14, 14)",11.3071,16.6925,1.4763
"(72, 72, (5, 5), (2, 2), (2, 2), (1, 1), 72, False, 'zeros')","(32, 72, 56, 56)",12.1146,14.3154,1.1817
"(72, 72, (3, 3), (1, 1), (1, 1), (1, 1), 72, False, 'zeros')","(32, 72, 56, 56)",11.2731,21.6416,1.9198
"(144, 144, (3, 3), (1, 1), (1, 1), (1, 1), 144, False, 'zeros')","(32, 144, 56, 56)",3.4554,9.3471,2.7051
"(576, 576, (3, 3), (1, 1), (1, 1), (1, 1), 576, False, 'zeros')","(32, 576, 14, 14)",12.0877,29.3046,2.4243
"(32, 32, (3, 3), (1, 1), (1, 1), (1, 1), 32, False, 'zeros')","(32, 32, 112, 112)",3.6712,10.0462,2.7365
"(960, 960, (3, 3), (1, 1), (1, 1), (1, 1), 960, False, 'zeros')","(32, 960, 7, 7)",12.0899,21.4716,1.7760
"(144, 144, (5, 5), (1, 1), (2, 2), (1, 1), 144, False, 'zeros')","(1, 144, 14, 14)",16.1483,26.1609,1.6200
"(384, 384, (3, 3), (1, 1), (1, 1), (1, 1), 384, False, 'zeros')","(32, 384, 14, 14)",11.1025,31.6890,2.8542
"(192, 192, (3, 3), (1, 1), (1, 1), (1, 1), 192, False, 'zeros')","(32, 192, 28, 28)",12.7689,23.5502,1.8443
"(256, 256, (3, 3), (2, 2), (1, 1), (1, 1), 32, False, 'zeros')","(32, 256, 56, 56)",13.2182,23.4068,1.7708
"(8, 4, (3, 3), (1, 1), (1, 1), (1, 1), 1, True, 'zeros')","(64, 8, 64, 64)",17.8986,44.8192,2.5041
"(64, 3, (7, 7), (1, 1), (3, 3), (1, 1), 1, False, 'zeros')","(17, 64, 128, 128)",18.7053,41.7427,2.2316
"(240, 240, (5, 5), (1, 1), (2, 2), (1, 1), 240, False, 'zeros')","(1, 240, 14, 14)",23.3843,27.2153,1.1638
"(256, 256, (3, 3), (1, 1), (1, 1), (1, 1), 32, False, 'zeros')","(32, 256, 28, 28)",40.2363,34.9945,0.8697
"(480, 480, (5, 5), (1, 1), (2, 2), (1, 1), 480, False, 'zeros')","(32, 480, 14, 14)",31.2340,26.0011,0.8325
"(4, 8, (3, 3), (1, 1), (1, 1), (1, 1), 1, True, 'zeros')","(64, 4, 64, 64)",48.1667,48.7578,1.0123
"(16, 64, (1, 1), (1, 1), (0, 0), (1, 1), 1, True, 'zeros')","(32, 16, 55, 55)",38.7325,32.4917,0.8389
"(120, 120, (5, 5), (1, 1), (2, 2), (1, 1), 120, False, 'zeros')","(32, 120, 28, 28)",34.8860,37.4420,1.0733
"(16, 16, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(1, 16, 56, 56)",32.1581,41.7236,1.2975
"(64, 128, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(32, 64, 56, 56)",43.5892,33.8051,0.7755
"(1152, 1152, (5, 5), (1, 1), (2, 2), (1, 1), 1152, False, 'zeros')","(32, 1152, 7, 7)",30.7419,24.3539,0.7922
"(32, 16, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(32, 32, 112, 112)",14.3633,27.5948,1.9212
"(512, 512, (3, 3), (2, 2), (1, 1), (1, 1), 32, False, 'zeros')","(32, 512, 28, 28)",27.5938,27.6774,1.0030
"(96, 40, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(1, 96, 14, 14)",44.8349,39.6666,0.8847
"(128, 16, (1, 1), (1, 1), (0, 0), (1, 1), 1, True, 'zeros')","(32, 128, 55, 55)",17.0992,25.5927,1.4967
